               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11105,            0.028192,                   0,           0.0053274,                0.08,           0.0086716,            0.001641,            0.085699,            0.020998,                   0,              0.0784,              0.0024,              0.0024
                   1,            0.088207,            0.024137,                   0,           0.0021333,                0.64,           0.0038735,          0.00089734,            0.079724,            0.014899,                   0,            0.055851,           0.0048515,           0.0048515
                   2,            0.082801,            0.019675,                   0,              0.0024,                0.72,             0.01308,           0.0040597,            0.081999,            0.012249,                   0,            0.033253,           0.0072535,           0.0072535
                   3,            0.077528,            0.018209,                   0,           0.0030667,                0.92,            0.041854,           0.0091821,            0.077509,           0.0099902,                   0,            0.010606,            0.009606,            0.009606
                   4,            0.072477,            0.018009,                   0,              0.0032,                0.96,             0.31698,            0.068195,            0.061657,            0.010229,                   0,            0.009604,            0.009604,            0.009604
                   5,            0.066379,            0.018436,                   0,              0.0032,                0.96,             0.59279,             0.13561,            0.056222,            0.009397,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.059775,            0.019404,                   0,              0.1146,                0.88,             0.73907,             0.28108,            0.050532,            0.009797,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.056089,            0.018523,                   0,             0.41534,                0.76,             0.71623,              0.1864,            0.048203,           0.0090341,                   0,            0.009406,            0.009406,            0.009406
                   8,             0.05596,            0.017196,                   0,             0.73194,              0.7647,             0.83076,             0.36169,            0.050155,           0.0085441,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.054086,            0.017137,                   0,             0.64613,             0.73064,             0.79217,             0.27895,            0.045415,           0.0087602,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.052975,            0.016058,                   0,             0.63663,                0.72,             0.68942,              0.2587,            0.039173,           0.0080806,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.046836,            0.015642,                   0,             0.86055,                 0.8,             0.77088,             0.31745,            0.040814,           0.0075447,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.044993,            0.015672,                   0,                   1,             0.88881,             0.95435,             0.41825,            0.041225,           0.0069133,                   0,            0.008911,            0.008911,            0.008911
